date_hour,Sum,Mean
2022-08-13 10:00:00,445,0.5764248704663213
2022-08-13 11:00:00,327,0.22645429362880887
2022-08-13 12:00:00,492,0.4667931688804554
2022-08-13 13:00:00,731,0.5933441558441559
2022-08-13 14:00:00,250,0.2997601918465228
2022-08-13 15:00:00,482,0.5199568500539374
2022-08-13 16:00:00,276,0.30976430976430974
2022-08-13 17:00:00,264,0.37822349570200575
2022-08-13 18:00:00,374,0.44844124700239807
2022-08-13 19:00:00,440,0.4550155118924509
2022-08-13 20:00:00,206,0.3311897106109325
2022-08-13 21:00:00,144,0.2530755711775044
2022-08-13 22:00:00,175,0.34860557768924305
2022-08-13 23:00:00,256,0.46126126126126127
2022-08-14 00:00:00,159,0.38313253012048193
2022-08-14 01:00:00,174,0.41134751773049644
2022-08-14 02:00:00,152,0.38974358974358975
2022-08-14 03:00:00,140,0.2646502835538752
2022-08-14 04:00:00,286,0.4028169014084507
2022-08-14 05:00:00,401,0.4956736711990111
2022-08-14 06:00:00,227,0.3238231098430813
2022-08-14 07:00:00,268,0.31492361927144535
2022-08-14 08:00:00,220,0.3343465045592705
2022-08-14 09:00:00,210,0.25862068965517243
2022-08-14 10:00:00,363,0.42406542056074764
2022-08-14 11:00:00,88,0.07780725022104333
2022-08-14 12:00:00,198,0.22732491389207807
2022-08-14 13:00:00,279,0.3968705547652916
2022-08-14 14:00:00,282,0.2727272727272727
2022-08-14 15:00:00,296,0.19576719576719576
2022-08-14 16:00:00,513,0.3528198074277854
2022-08-14 17:00:00,469,0.3947811447811448
2022-08-14 18:00:00,348,0.3129496402877698
2022-08-14 19:00:00,312,0.32298136645962733
2022-08-14 20:00:00,304,0.296875
2022-08-14 21:00:00,196,0.25857519788918204
2022-08-14 22:00:00,242,0.35123367198838895
2022-08-14 23:00:00,341,0.43274111675126903
2022-08-15 00:00:00,228,0.3507692307692308
2022-08-15 01:00:00,348,0.46774193548387094
2022-08-15 02:00:00,281,0.4270516717325228
2022-08-15 03:00:00,246,0.3393103448275862
2022-08-15 04:00:00,235,0.3533834586466165
2022-08-15 05:00:00,193,0.3391915641476274
2022-08-15 06:00:00,271,0.3927536231884058
2022-08-15 07:00:00,239,0.33102493074792244
2022-08-15 08:00:00,233,0.37161084529505584
2022-08-15 09:00:00,239,0.3111979166666667
2022-08-15 10:00:00,231,0.2326283987915408
2022-08-15 11:00:00,543,0.5323529411764706
2022-08-15 12:00:00,418,0.46756152125279643
2022-08-15 13:00:00,822,0.5572881355932203
2022-08-15 14:00:00,177,0.580327868852459
