Date,Close,Hour
2021-10-20,0.2431,0
2021-10-20,0.2432,1
2021-10-20,0.2422,2
2021-10-20,0.2428,3
2021-10-20,0.2435,4
2021-10-20,0.245,5
2021-10-20,0.2446,6
2021-10-20,0.2449,7
2021-10-20,0.2449,8
2021-10-20,0.2444,9
2021-10-20,0.2439,10
2021-10-20,0.244,11
2021-10-20,0.2459,12
2021-10-20,0.2498,13
2021-10-20,0.2524,14
2021-10-20,0.2522,15
2021-10-20,0.2563,16
2021-10-20,0.2534,17
2021-10-20,0.2547,18
2021-10-20,0.2574,19
2021-10-20,0.2559,20
2021-10-20,0.256,21
2021-10-20,0.2538,22
2021-10-20,0.2548,23
2021-10-21,0.255,0
2021-10-21,0.2531,1
2021-10-21,0.2534,2
2021-10-21,0.2529,3
2021-10-21,0.2523,4
2021-10-21,0.2532,5
2021-10-21,0.2518,6
2021-10-21,0.2518,7
2021-10-21,0.2534,8
2021-10-21,0.255,9
2021-10-21,0.2562,10
2021-10-21,0.2504,11
2021-10-21,0.2522,12
2021-10-21,0.2509,13
2021-10-21,0.2462,14
2021-10-21,0.2452,15
2021-10-21,0.2437,16
2021-10-21,0.2434,17
2021-10-21,0.2444,18
2021-10-21,0.2443,19
2021-10-21,0.2442,20
2021-10-21,0.2452,21
2021-10-21,0.2441,22
2021-10-21,0.2424,23
2021-10-22,0.2451,0
2021-10-22,0.2444,1
2021-10-22,0.2448,2
2021-10-22,0.2455,3
2021-10-22,0.2454,4
2021-10-22,0.2459,5
2021-10-22,0.2461,6
2021-10-22,0.2478,7
2021-10-22,0.2483,8
2021-10-22,0.2467,9
2021-10-22,0.2461,10
2021-10-22,0.2472,11
2021-10-22,0.2463,12
2021-10-22,0.242,13
2021-10-22,0.2402,14
2021-10-22,0.2395,15
2021-10-22,0.2399,16
2021-10-22,0.2378,17
2021-10-22,0.2411,18
2021-10-22,0.2488,19
2021-10-22,0.2482,20
2021-10-22,0.2445,21
2021-10-22,0.246,22
2021-10-22,0.2446,23
2021-10-23,0.2446,0
2021-10-23,0.2444,1
2021-10-23,0.2458,2
2021-10-23,0.2463,3
2021-10-23,0.2468,4
2021-10-23,0.2456,5
2021-10-23,0.2453,6
2021-10-23,0.2481,7
2021-10-23,0.247,8
2021-10-23,0.2458,9
2021-10-23,0.2432,10
2021-10-23,0.2459,11
2021-10-23,0.2461,12
2021-10-23,0.2452,13
2021-10-23,0.2458,14
2021-10-23,0.2468,15
2021-10-23,0.2466,16
2021-10-23,0.2503,17
2021-10-23,0.2493,18
2021-10-23,0.2468,19
2021-10-23,0.2483,20
2021-10-23,0.2492,21
2021-10-23,0.2489,22
2021-10-23,0.2511,23
2021-10-24,0.2499,0
2021-10-24,0.2491,1
2021-10-24,0.249,2
2021-10-24,0.2504,3
2021-10-24,0.2493,4
2021-10-24,0.2494,5
2021-10-24,0.2486,6
2021-10-24,0.2493,7
2021-10-24,0.2467,8
2021-10-24,0.2472,9
2021-10-24,0.2471,10
2021-10-24,0.264,11
2021-10-24,0.2581,12
2021-10-24,0.2587,13
2021-10-24,0.261,14
2021-10-24,0.2535,15
2021-10-24,0.2554,16
2021-10-24,0.257,17
2021-10-24,0.2616,18
2021-10-24,0.2627,19
2021-10-24,0.2597,20
2021-10-24,0.2656,21
2021-10-24,0.2679,22
2021-10-24,0.2756,23
2021-10-25,0.2754,0
2021-10-25,0.2743,1
2021-10-25,0.2745,2
2021-10-25,0.2685,3
2021-10-25,0.2716,4
2021-10-25,0.2688,5
2021-10-25,0.2687,6
2021-10-25,0.2685,7
2021-10-25,0.2661,8
2021-10-25,0.2653,9
2021-10-25,0.2633,10
2021-10-25,0.2619,11
2021-10-25,0.2632,12
2021-10-25,0.2679,13
2021-10-25,0.2647,14
2021-10-25,0.2661,15
2021-10-25,0.2638,16
2021-10-25,0.2633,17
2021-10-25,0.2632,18
2021-10-25,0.2629,19
2021-10-25,0.2654,20
2021-10-25,0.2635,21
2021-10-25,0.2653,22
2021-10-25,0.2651,23
2021-10-26,0.2638,0
2021-10-26,0.2636,1
2021-10-26,0.265,2
2021-10-26,0.2647,3
2021-10-26,0.2629,4
2021-10-26,0.2633,5
2021-10-26,0.2643,6
2021-10-26,0.2651,7
2021-10-26,0.27,8
2021-10-26,0.2713,9
2021-10-26,0.2702,10
2021-10-26,0.272,11
2021-10-26,0.2709,12
2021-10-26,0.2672,13
2021-10-26,0.2652,14
2021-10-26,0.2665,15
2021-10-26,0.2652,16
2021-10-26,0.2675,17
2021-10-26,0.2664,18
2021-10-26,0.2667,19
2021-10-26,0.266,20
2021-10-26,0.2619,21
2021-10-26,0.2553,22
2021-10-26,0.2559,23
2021-10-27,0.2575,0
2021-10-27,0.258,1
2021-10-27,0.2572,2
2021-10-27,0.2589,3
2021-10-27,0.2613,4
2021-10-27,0.2607,5
2021-10-27,0.2569,6
2021-10-27,0.2498,7
2021-10-27,0.2373,8
2021-10-27,0.2365,9
2021-10-27,0.2373,10
2021-10-27,0.237,11
2021-10-27,0.24,12
2021-10-27,0.2377,13
2021-10-27,0.2498,14
2021-10-27,0.2432,15
2021-10-27,0.2448,16
2021-10-27,0.2472,17
2021-10-27,0.2453,18
2021-10-27,0.2426,19
2021-10-27,0.241,20
2021-10-27,0.2414,21
2021-10-27,0.2388,22
2021-10-27,0.2379,23
2021-10-28,0.2336,0
2021-10-28,0.2393,1
2021-10-28,0.2358,2
2021-10-28,0.2358,3
2021-10-28,0.2399,4
2021-10-28,0.2733,5
2021-10-28,0.2938,6
2021-10-28,0.3291,7
2021-10-28,0.3013,8
2021-10-28,0.2992,9
2021-10-28,0.291,10
2021-10-28,0.2962,11
2021-10-28,0.3111,12
2021-10-28,0.3036,13
2021-10-28,0.3063,14
2021-10-28,0.3188,15
2021-10-28,0.3279,16
2021-10-28,0.3269,17
2021-10-28,0.3039,18
2021-10-28,0.3096,19
2021-10-28,0.3009,20
2021-10-28,0.3008,21
2021-10-28,0.2988,22
2021-10-28,0.2997,23
2021-10-29,0.3006,0
2021-10-29,0.2944,1
2021-10-29,0.2998,2
2021-10-29,0.2937,3
2021-10-29,0.2956,4
2021-10-29,0.2899,5
2021-10-29,0.2937,6
2021-10-29,0.2902,7
2021-10-29,0.2943,8
2021-10-29,0.2939,9
2021-10-29,0.293,10
2021-10-29,0.2845,11
2021-10-29,0.2856,12
2021-10-29,0.2861,13
2021-10-29,0.2826,14
2021-10-29,0.2881,15
2021-10-29,0.2887,16
2021-10-29,0.2885,17
2021-10-29,0.2913,18
2021-10-29,0.2905,19
2021-10-29,0.2932,20
2021-10-29,0.2924,21
2021-10-29,0.2897,22
2021-10-29,0.2882,23
2021-10-30,0.2865,0
2021-10-30,0.2839,1
2021-10-30,0.2874,2
2021-10-30,0.2855,3
2021-10-30,0.2856,4
2021-10-30,0.2948,5
2021-10-30,0.2896,6
2021-10-30,0.2888,7
2021-10-30,0.2855,8
2021-10-30,0.2839,9
2021-10-30,0.2851,10
2021-10-30,0.2848,11
2021-10-30,0.2809,12
2021-10-30,0.2773,13
2021-10-30,0.2707,14
2021-10-30,0.2747,15
2021-10-30,0.2729,16
2021-10-30,0.27,17
2021-10-30,0.2761,18
2021-10-30,0.2732,19
2021-10-30,0.272,20
2021-10-30,0.27,21
2021-10-30,0.2653,22
2021-10-30,0.269,23
2021-10-31,0.2676,0
2021-10-31,0.2645,1
2021-10-31,0.2656,2
2021-10-31,0.2678,3
2021-10-31,0.2687,4
2021-10-31,0.2704,5
2021-10-31,0.2681,6
2021-10-31,0.2704,7
2021-10-31,0.2642,8
2021-10-31,0.263,9
2021-10-31,0.2624,10
2021-10-31,0.2604,11
2021-10-31,0.2588,12
2021-10-31,0.2583,13
2021-10-31,0.2578,14
2021-10-31,0.2588,15
2021-10-31,0.2623,16
2021-10-31,0.2605,17
2021-10-31,0.269,18
2021-10-31,0.2703,19
2021-10-31,0.2731,20
2021-10-31,0.2771,21
2021-10-31,0.2781,22
2021-10-31,0.28,23
2021-11-01,0.2808,0
2021-11-01,0.2732,1
2021-11-01,0.2703,2
2021-11-01,0.2662,3
2021-11-01,0.2693,4
2021-11-01,0.2674,5
2021-11-01,0.2693,6
2021-11-01,0.273,7
2021-11-01,0.271,8
2021-11-01,0.2762,9
2021-11-01,0.2727,10
2021-11-01,0.2734,11
2021-11-01,0.272,12
2021-11-01,0.2717,13
2021-11-01,0.2702,14
2021-11-01,0.2699,15
2021-11-01,0.2731,16
2021-11-01,0.2699,17
2021-11-01,0.2698,18
2021-11-01,0.2714,19
2021-11-01,0.2698,20
2021-11-01,0.2696,21
2021-11-01,0.2708,22
2021-11-01,0.2716,23
2021-11-02,0.2691,0
2021-11-02,0.2678,1
2021-11-02,0.2696,2
2021-11-02,0.2704,3
2021-11-02,0.271,4
2021-11-02,0.2759,5
2021-11-02,0.277,6
2021-11-02,0.2746,7
2021-11-02,0.2723,8
2021-11-02,0.2734,9
2021-11-02,0.2726,10
2021-11-02,0.2724,11
2021-11-02,0.2711,12
2021-11-02,0.2721,13
2021-11-02,0.2736,14
2021-11-02,0.2727,15
2021-11-02,0.2724,16
2021-11-02,0.2724,17
2021-11-02,0.2734,18
2021-11-02,0.2756,19
2021-11-02,0.2737,20
2021-11-02,0.2748,21
2021-11-02,0.2737,22
2021-11-02,0.2739,23
2021-11-03,0.2738,0
2021-11-03,0.2725,1
2021-11-03,0.2715,2
2021-11-03,0.2716,3
2021-11-03,0.2708,4
2021-11-03,0.2732,5
2021-11-03,0.2719,6
2021-11-03,0.2742,7
2021-11-03,0.2758,8
2021-11-03,0.2756,9
2021-11-03,0.2735,10
2021-11-03,0.2735,11
2021-11-03,0.2665,12
2021-11-03,0.2653,13
2021-11-03,0.2659,14
2021-11-03,0.2663,15
2021-11-03,0.2658,16
2021-11-03,0.2679,17
2021-11-03,0.2703,18
2021-11-03,0.2703,19
2021-11-03,0.2688,20
2021-11-03,0.2697,21
2021-11-03,0.2674,22
2021-11-03,0.2689,23
2021-11-04,0.2679,0
2021-11-04,0.2675,1
2021-11-04,0.2695,2
2021-11-04,0.2692,3
2021-11-04,0.2693,4
2021-11-04,0.267,5
2021-11-04,0.2674,6
2021-11-04,0.2638,7
2021-11-04,0.2631,8
2021-11-04,0.2653,9
2021-11-04,0.2639,10
2021-11-04,0.2622,11
2021-11-04,0.264,12
2021-11-04,0.2616,13
2021-11-04,0.2612,14
2021-11-04,0.2555,15
2021-11-04,0.2585,16
2021-11-04,0.2568,17
2021-11-04,0.2578,18
2021-11-04,0.2607,19
2021-11-04,0.2618,20
2021-11-04,0.2622,21
2021-11-04,0.2617,22
2021-11-04,0.263,23
2021-11-05,0.2581,0
2021-11-05,0.2605,1
2021-11-05,0.2594,2
2021-11-05,0.2617,3
2021-11-05,0.2614,4
2021-11-05,0.2611,5
2021-11-05,0.2613,6
2021-11-05,0.2616,7
2021-11-05,0.2692,8
2021-11-05,0.2645,9
2021-11-05,0.2635,10
2021-11-05,0.2603,11
2021-11-05,0.2617,12
2021-11-05,0.2634,13
2021-11-05,0.259,14
2021-11-05,0.2607,15
2021-11-05,0.2608,16
2021-11-05,0.2611,17
2021-11-05,0.2623,18
2021-11-05,0.2604,19
2021-11-05,0.2588,20
2021-11-05,0.26,21
2021-11-05,0.261,22
2021-11-05,0.2609,23
2021-11-06,0.2633,0
2021-11-06,0.2647,1
2021-11-06,0.2631,2
2021-11-06,0.2636,3
2021-11-06,0.2643,4
2021-11-06,0.2632,5
2021-11-06,0.2633,6
2021-11-06,0.261,7
2021-11-06,0.2601,8
2021-11-06,0.2601,9
2021-11-06,0.2565,10
2021-11-06,0.255,11
2021-11-06,0.2548,12
2021-11-06,0.2562,13
2021-11-06,0.2562,14
2021-11-06,0.2564,15
2021-11-06,0.2578,16
2021-11-06,0.2577,17
2021-11-06,0.2579,18
2021-11-06,0.2615,19
2021-11-06,0.2602,20
2021-11-06,0.2614,21
2021-11-06,0.2628,22
2021-11-06,0.2618,23
2021-11-07,0.2628,0
2021-11-07,0.2622,1
2021-11-07,0.2618,2
2021-11-07,0.2624,3
2021-11-07,0.2614,4
2021-11-07,0.2605,5
2021-11-07,0.2589,6
2021-11-07,0.2598,7
2021-11-07,0.2607,8
2021-11-07,0.2628,9
2021-11-07,0.2627,10
2021-11-07,0.2628,11
2021-11-07,0.2614,12
2021-11-07,0.2637,13
2021-11-07,0.2633,14
2021-11-07,0.2654,15
2021-11-07,0.2666,16
2021-11-07,0.2666,17
2021-11-07,0.2643,18
2021-11-07,0.2648,19
2021-11-07,0.2642,20
2021-11-07,0.2664,21
2021-11-07,0.266,22
2021-11-07,0.2664,23
2021-11-08,0.2679,0
2021-11-08,0.2697,1
2021-11-08,0.2697,2
2021-11-08,0.2692,3
2021-11-08,0.2714,4
2021-11-08,0.2747,5
2021-11-08,0.2723,6
2021-11-08,0.2728,7
2021-11-08,0.2934,8
2021-11-08,0.286,9
2021-11-08,0.2835,10
2021-11-08,0.2836,11
2021-11-08,0.2786,12
2021-11-08,0.2767,13
2021-11-08,0.2782,14
2021-11-08,0.2804,15
2021-11-08,0.2786,16
2021-11-08,0.279,17
2021-11-08,0.2774,18
2021-11-08,0.2816,19
2021-11-08,0.278,20
2021-11-08,0.2777,21
2021-11-08,0.2784,22
2021-11-08,0.2819,23
2021-11-09,0.2829,0
2021-11-09,0.2817,1
2021-11-09,0.2856,2
2021-11-09,0.2836,3
2021-11-09,0.2843,4
2021-11-09,0.2852,5
2021-11-09,0.2831,6
2021-11-09,0.2799,7
2021-11-09,0.2812,8
2021-11-09,0.2807,9
2021-11-09,0.2792,10
2021-11-09,0.2761,11
2021-11-09,0.2761,12
2021-11-09,0.2787,13
2021-11-09,0.2746,14
2021-11-09,0.2743,15
2021-11-09,0.2745,16
2021-11-09,0.2753,17
2021-11-09,0.2737,18
2021-11-09,0.2755,19
2021-11-09,0.2751,20
2021-11-09,0.2755,21
2021-11-09,0.275,22
2021-11-09,0.2736,23
2021-11-10,0.2737,0
2021-11-10,0.2732,1
2021-11-10,0.2737,2
2021-11-10,0.2704,3
2021-11-10,0.2709,4
2021-11-10,0.2701,5
2021-11-10,0.2721,6
2021-11-10,0.2723,7
2021-11-10,0.2726,8
2021-11-10,0.2735,9
2021-11-10,0.2743,10
2021-11-10,0.2719,11
2021-11-10,0.2699,12
2021-11-10,0.2746,13
2021-11-10,0.2725,14
2021-11-10,0.2715,15
2021-11-10,0.2712,16
2021-11-10,0.2708,17
2021-11-10,0.2683,18
2021-11-10,0.2617,19
2021-11-10,0.2586,20
2021-11-10,0.2463,21
2021-11-10,0.2557,22
2021-11-10,0.2553,23
2021-11-11,0.2577,0
2021-11-11,0.2574,1
2021-11-11,0.2593,2
2021-11-11,0.2611,3
2021-11-11,0.2626,4
2021-11-11,0.2602,5
2021-11-11,0.2618,6
2021-11-11,0.2613,7
2021-11-11,0.2612,8
2021-11-11,0.2618,9
2021-11-11,0.2599,10
2021-11-11,0.2606,11
2021-11-11,0.2603,12
2021-11-11,0.2591,13
2021-11-11,0.2607,14
2021-11-11,0.2659,15
2021-11-11,0.2635,16
2021-11-11,0.2618,17
2021-11-11,0.2613,18
2021-11-11,0.2634,19
2021-11-11,0.2605,20
2021-11-11,0.2616,21
2021-11-11,0.2632,22
2021-11-11,0.2605,23
2021-11-12,0.262,0
2021-11-12,0.2622,1
2021-11-12,0.266,2
2021-11-12,0.2653,3
2021-11-12,0.2637,4
2021-11-12,0.2611,5
2021-11-12,0.2608,6
2021-11-12,0.2606,7
2021-11-12,0.2618,8
2021-11-12,0.2546,9
2021-11-12,0.2537,10
2021-11-12,0.2548,11
2021-11-12,0.256,12
2021-11-12,0.2571,13
2021-11-12,0.2557,14
2021-11-12,0.2539,15
2021-11-12,0.2552,16
2021-11-12,0.2563,17
2021-11-12,0.256,18
2021-11-12,0.2559,19
2021-11-12,0.2596,20
2021-11-12,0.2587,21
2021-11-12,0.2585,22
2021-11-12,0.2593,23
2021-11-13,0.2595,0
2021-11-13,0.2565,1
2021-11-13,0.2557,2
2021-11-13,0.2564,3
2021-11-13,0.2556,4
2021-11-13,0.2551,5
2021-11-13,0.2577,6
2021-11-13,0.258,7
2021-11-13,0.2569,8
2021-11-13,0.2594,9
2021-11-13,0.2582,10
2021-11-13,0.2576,11
2021-11-13,0.2566,12
2021-11-13,0.2572,13
2021-11-13,0.2596,14
2021-11-13,0.2591,15
2021-11-13,0.2593,16
2021-11-13,0.2609,17
2021-11-13,0.2595,18
2021-11-13,0.2591,19
2021-11-13,0.26,20
2021-11-13,0.2617,21
2021-11-13,0.2612,22
2021-11-13,0.2613,23
2021-11-14,0.2613,0
2021-11-14,0.2621,1
2021-11-14,0.2616,2
2021-11-14,0.2613,3
2021-11-14,0.2612,4
2021-11-14,0.261,5
2021-11-14,0.261,6
2021-11-14,0.2611,7
2021-11-14,0.2662,8
2021-11-14,0.2655,9
2021-11-14,0.263,10
2021-11-14,0.2639,11
2021-11-14,0.263,12
2021-11-14,0.2647,13
2021-11-14,0.2614,14
2021-11-14,0.2612,15
2021-11-14,0.261,16
2021-11-14,0.262,17
2021-11-14,0.2614,18
2021-11-14,0.2615,19
2021-11-14,0.2619,20
2021-11-14,0.2615,21
2021-11-14,0.2615,22
2021-11-14,0.2628,23
2021-11-15,0.2641,0
2021-11-15,0.2633,1
2021-11-15,0.2623,2
2021-11-15,0.2623,3
2021-11-15,0.2636,4
2021-11-15,0.2635,5
2021-11-15,0.263,6
2021-11-15,0.2623,7
2021-11-15,0.2623,8
2021-11-15,0.263,9
2021-11-15,0.2626,10
2021-11-15,0.262,11
2021-11-15,0.2624,12
2021-11-15,0.2618,13
2021-11-15,0.26,14
2021-11-15,0.258,15
2021-11-15,0.2588,16
