Date_Hour,Close,Volume,%change,sum rob sent,sum nltk sent,total like volume,sum of like x robsent,sum of like x nltksent,ptrend
2021-01-01 06:00:00,0.00485,38.453436,-0.0185960865254254,-2.0,-2.0,186.0,-186.0,-186.0,0.0
2021-01-01 07:00:00,0.00486,19.742537,0.002061855670103,2.0,-2.0,30.0,30.0,-30.0,1.0
2021-01-01 09:00:00,0.0048154,65.834021,-0.0126307156038548,0.0,2.0,148.0,0.0,148.0,0.0
2021-01-01 12:00:00,0.0049292,97.037278,0.0071513219729475,2.0,-2.0,28.0,28.0,-28.0,1.0
2021-01-01 13:00:00,0.0049364,41.627356,0.0014606832751764,2.0,-2.0,66.0,66.0,-66.0,1.0
2021-01-01 16:00:00,0.004979,57.585388,0.0124857654140231,0.0,-4.0,330.0,-26.0,-330.0,1.0
2021-01-01 17:00:00,0.0049828,141.966103,0.0007632054629442,0.0,-4.0,1156.0,424.0,-1156.0,1.0
2021-01-01 18:00:00,0.0050398,157.725362,0.0114393513687083,-2.0,-2.0,210.0,-210.0,-210.0,1.0
2021-01-01 19:00:00,0.0052193,230.514372,0.0356164927179649,-2.0,-2.0,516.0,-516.0,-516.0,1.0
2021-01-01 20:00:00,0.0051688,548.140728,-0.009675626999789,4.0,4.0,1436.0,1436.0,1436.0,0.0
2021-01-01 22:00:00,0.0054316,267.322141,0.0146264920703118,4.0,0.0,1148.0,1148.0,-932.0,1.0
2021-01-01 23:00:00,0.00568,301.192395,0.0457323808822447,6.0,6.0,1040.0,836.0,828.0,1.0
2021-01-02 00:00:00,0.0057991,550.916025,0.0209683098591548,6.0,2.0,1652.0,300.0,844.0,1.0
2021-01-02 01:00:00,0.0057419,220.12181,-0.009863599524064,0.0,2.0,140.0,0.0,140.0,0.0
2021-01-02 02:00:00,0.0063019,691.597213,0.097528692593044,4.0,2.0,800.0,788.0,-696.0,1.0
2021-01-02 03:00:00,0.0066338,1898.905053,0.0526666560878463,0.0,2.0,7052.0,-2256.0,6332.0,1.0
2021-01-02 04:00:00,0.0077729,2519.599811,0.171711537881757,4.0,-4.0,1466.0,-226.0,514.0,1.0
2021-01-02 05:00:00,0.0072017,1524.727778,-0.0734860862741062,8.0,-2.0,3500.0,1564.0,-1824.0,0.0
2021-01-02 06:00:00,0.0067485,1299.071771,-0.0629295860699556,2.0,-2.0,1782.0,650.0,-1698.0,0.0
2021-01-02 07:00:00,0.0068931,1287.875354,0.021426983774172,4.0,0.0,124.0,124.0,-52.0,1.0
2021-01-02 08:00:00,0.0067446,674.404992,-0.0215432824128476,2.0,2.0,82.0,82.0,82.0,0.0
2021-01-02 09:00:00,0.0067551,490.61850999999996,0.0015568009963526,0.0,-4.0,3094.0,2026.0,-3094.0,1.0
2021-01-02 10:00:00,0.0070785,428.852501,0.0478749389350268,-2.0,0.0,690.0,-142.0,318.0,1.0
2021-01-02 11:00:00,0.0072641,707.27663,0.0262202444020627,11.0,7.0,2565.0,2565.0,2429.0,1.0
2021-01-02 12:00:00,0.006975,849.860349,-0.0397984609242714,2.0,2.0,2840.0,-328.0,944.0,0.0
2021-01-02 13:00:00,0.007265,668.119321,0.0415770609318995,2.0,-2.0,3316.0,816.0,-3188.0,1.0
2021-01-02 14:00:00,0.0075859,1123.412482,0.0441706813489333,6.0,4.0,208.0,180.0,92.0,1.0
2021-01-02 15:00:00,0.0085983,3886.370261,0.1334581262605623,10.0,6.0,6696.0,-996.0,1808.0,1.0
2021-01-02 16:00:00,0.008803,2726.858968,0.02380703162253,18.0,4.0,2798.0,2548.0,-246.0,1.0
2021-01-02 17:00:00,0.0099805,2558.239587,0.1337612177666705,13.0,-1.0,30529.0,-23893.0,24749.0,1.0
2021-01-02 18:00:00,0.0113563,4116.269843,0.1378488051700817,6.0,-2.0,8516.0,-1246.0,4584.0,1.0
2021-01-02 19:00:00,0.01178,6778.68427,0.0373096871340137,18.0,0.0,5158.0,1700.0,330.0,1.0
2021-01-02 20:00:00,0.0090959,3836.612593,-0.2278522920203735,25.0,-3.0,5362.0,5348.0,2160.0,0.0
2021-01-02 21:00:00,0.0104005,3626.5912,0.143427258435119,4.0,-6.0,2408.0,104.0,-408.0,1.0
2021-01-02 22:00:00,0.0110524,2061.963498,0.0626796788615933,2.0,6.0,518.0,154.0,386.0,1.0
2021-01-02 23:00:00,0.0105264,1806.397435,-0.0475914733451557,0.0,4.0,166.0,8.0,142.0,0.0
2021-01-03 00:00:00,0.0095099,1464.512392,-0.0965667274661802,0.0,2.0,30.0,0.0,30.0,0.0
2021-01-03 01:00:00,0.0098092,1229.057116,0.0314724655359153,2.0,2.0,2914.0,1632.0,1066.0,1.0
2021-01-03 02:00:00,0.0100282,771.014995,0.0223259796925334,4.0,-4.0,238.0,238.0,-238.0,1.0
2021-01-03 03:00:00,0.0108323,1313.601576,0.080183881454299,6.0,2.0,3616.0,3404.0,860.0,1.0
2021-01-03 04:00:00,0.010791,853.309346,-0.003812671362499,12.0,4.0,1716.0,1716.0,1444.0,0.0
2021-01-03 05:00:00,0.0120575,1701.615424,0.1173663237883422,5.0,-11.0,9944.0,9784.0,-9944.0,1.0
2021-01-03 06:00:00,0.0125499,1562.128968,0.0408376529131244,2.0,2.0,54.0,54.0,54.0,1.0
2021-01-03 07:00:00,0.0124227,975.271586,-0.0101355389285969,4.0,-4.0,370.0,370.0,-370.0,0.0
2021-01-03 08:00:00,0.0117,1167.046386,-0.0581757588929942,8.0,8.0,944.0,944.0,944.0,0.0
2021-01-03 09:00:00,0.0118001,816.211189,0.0085555555555556,0.0,0.0,72.0,-20.0,20.0,1.0
2021-01-03 10:00:00,0.0116026,643.528283,-0.0167371462953704,2.0,2.0,54.0,54.0,54.0,0.0
2021-01-03 11:00:00,0.0131251,1923.689792,0.1312205884887871,0.0,0.0,1450.0,-462.0,1046.0,1.0
2021-01-03 12:00:00,0.013195,2717.294858,0.0053256737091527,10.0,4.0,890.0,632.0,290.0,1.0
2021-01-03 13:00:00,0.0128558,1189.951676,-0.0257067070860174,-2.0,6.0,258.0,-110.0,258.0,0.0
2021-01-03 14:00:00,0.0122443,1482.795643,-0.0475660791238197,8.0,2.0,2010.0,1378.0,1030.0,0.0
2021-01-03 15:00:00,0.012401,1343.99333,0.0127977916254911,2.0,4.0,580.0,412.0,580.0,1.0
2021-01-03 16:00:00,0.0108834,1567.954717,-0.1223772276429321,2.0,2.0,3052.0,3020.0,2952.0,0.0
2021-01-03 17:00:00,0.0109876,1744.790197,0.0095742139404966,4.0,8.0,998.0,-310.0,998.0,1.0
2021-01-03 18:00:00,0.010679,751.283213,-0.028086206268885,6.0,2.0,3340.0,3340.0,2792.0,0.0
2021-01-03 20:00:00,0.0106351,1695.430993,0.0897735423711445,2.0,2.0,404.0,404.0,404.0,1.0
2021-01-03 22:00:00,0.01015,534.679536,-0.0317195325542571,-2.0,2.0,242.0,-242.0,242.0,0.0
2021-01-04 02:00:00,0.0111323,505.5473589999999,0.0646805661820963,6.0,6.0,3532.0,3532.0,3532.0,1.0
2021-01-04 08:00:00,0.0095474,491.349247,0.0003772082399042,5.0,1.0,31250.0,31250.0,30678.0,1.0
2021-01-04 11:00:00,0.0088666,931.058346,0.0238095238095237,2.0,2.0,204.0,204.0,204.0,1.0
2021-01-04 12:00:00,0.0091784,718.49154,0.035165677937428,0.0,0.0,212.0,24.0,-24.0,1.0
2021-01-04 13:00:00,0.0088013,619.067854,-0.0410855922600889,0.0,-2.0,62.0,0.0,-62.0,0.0
2021-01-04 15:00:00,0.0102286,1131.632951,0.1279636532057078,2.0,2.0,136.0,136.0,136.0,1.0
2021-01-04 16:00:00,0.0099014,879.612464,-0.0319887374616272,4.0,2.0,952.0,514.0,268.0,0.0
2021-01-04 18:00:00,0.009531,397.300483,0.0329579815539347,0.0,0.0,948.0,-844.0,844.0,1.0
2021-01-04 19:00:00,0.0097442,321.247252,0.0223691113209527,2.0,0.0,2524.0,2456.0,2388.0,1.0
2021-01-04 20:00:00,0.0094566,238.634728,-0.0295149935346153,0.0,2.0,236.0,34.0,104.0,0.0
2021-01-04 21:00:00,0.0095565,268.270215,0.0105640505044095,0.0,-2.0,1794.0,0.0,-1794.0,1.0
2021-01-04 22:00:00,0.0096541,182.53629,0.0102129440694815,0.0,0.0,396.0,-316.0,-316.0,1.0
2021-01-04 23:00:00,0.0097613,274.404532,0.0111040904900507,2.0,-2.0,76.0,76.0,-76.0,1.0
2021-01-05 00:00:00,0.009815,504.02402299999994,0.0055013164230175,4.0,4.0,90.0,90.0,90.0,1.0
2021-01-05 01:00:00,0.0099231,188.797094,0.0110137544574631,2.0,2.0,42.0,42.0,42.0,1.0
2021-01-05 02:00:00,0.0096516,134.891268,-0.0273604014874384,2.0,-2.0,984.0,984.0,-984.0,0.0
2021-01-05 05:00:00,0.0090613,184.962391,0.0052696975748296,-2.0,2.0,158.0,-158.0,158.0,1.0
2021-01-05 10:00:00,0.0095164,263.322433,0.0104802658823279,-2.0,2.0,68.0,-68.0,68.0,1.0
2021-01-05 12:00:00,0.0094427,261.555453,-0.0475580480522885,2.0,2.0,70.0,70.0,70.0,0.0
2021-01-05 13:00:00,0.0093502,149.9881,-0.0097959270124011,2.0,-2.0,32.0,32.0,-32.0,0.0
2021-01-05 15:00:00,0.009402,140.484954,-0.0231891285375888,-2.0,2.0,426.0,278.0,338.0,0.0
2021-01-05 17:00:00,0.00968,153.232682,0.018164989008446,-8.0,0.0,692.0,-692.0,-480.0,1.0
2021-01-05 18:00:00,0.0096087,220.939849,-0.0073657024793388,2.0,-2.0,64.0,64.0,-64.0,0.0
2021-01-05 19:00:00,0.0095967,156.41402,-0.0012488682131818,-2.0,0.0,996.0,-510.0,-24.0,0.0
2021-01-05 20:00:00,0.0095777,162.757468,-0.0019798472391551,2.0,-2.0,144.0,144.0,-144.0,0.0
2021-01-05 21:00:00,0.0095613,168.478552,-0.0017123108888354,2.0,-2.0,64.0,64.0,-64.0,0.0
2021-01-05 22:00:00,0.0100007,233.612934,0.0459560938366121,2.0,-2.0,604.0,92.0,216.0,1.0
2021-01-05 23:00:00,0.00997,425.686461,-0.0030697851150419,2.0,-2.0,918.0,226.0,126.0,0.0
2021-01-06 00:00:00,0.0097789,413.639169,-0.0191675025075225,0.0,-2.0,452.0,0.0,-452.0,0.0
2021-01-06 03:00:00,0.0100413,312.739401,0.0205921514021161,2.0,2.0,114.0,114.0,114.0,1.0
2021-01-06 04:00:00,0.0106374,483.603334,0.0593648232798542,2.0,-2.0,654.0,654.0,-654.0,1.0
2021-01-06 05:00:00,0.010438,732.848051,-0.0187451820933687,2.0,2.0,818.0,202.0,-62.0,0.0
2021-01-06 12:00:00,0.0100804,285.983724,-0.0191300963316142,2.0,2.0,68.0,68.0,68.0,0.0
2021-01-06 13:00:00,0.0101151,210.451551,0.0034423237173129,2.0,2.0,194.0,194.0,194.0,1.0
2021-01-06 14:00:00,0.0099129,214.270897,-0.0199899160660793,4.0,0.0,1258.0,1258.0,990.0,0.0
2021-01-06 15:00:00,0.0100276,130.769258,0.0115707815069252,4.0,-4.0,292.0,292.0,-292.0,1.0
2021-01-06 16:00:00,0.0101234,358.183116,0.0095536319757469,4.0,0.0,890.0,890.0,790.0,1.0
2021-01-06 18:00:00,0.010358,234.267342,-0.0118580845806741,4.0,0.0,508.0,508.0,128.0,0.0
2021-01-06 20:00:00,0.0103202,326.599397,0.0342436237911509,-2.0,2.0,112.0,-112.0,112.0,1.0
2021-01-06 22:00:00,0.0102696,105.506286,0.0032629296027821,2.0,-2.0,676.0,676.0,-676.0,1.0
2021-01-06 23:00:00,0.01042,105.423614,0.0146451663161175,2.0,-2.0,422.0,422.0,-422.0,1.0
2021-01-07 01:00:00,0.01036,157.637322,-0.0043248438250841,2.0,-2.0,4964.0,4964.0,-4964.0,0.0
2021-01-07 03:00:00,0.0101942,145.094636,-0.0036066503113056,4.0,0.0,386.0,386.0,-206.0,0.0
2021-01-07 06:00:00,0.01006,133.135038,0.000676401543787,0.0,4.0,2112.0,-1956.0,2112.0,1.0
2021-01-07 07:00:00,0.0099861,83.137628,-0.0073459244532803,2.0,0.0,98.0,60.0,22.0,0.0
2021-01-07 10:00:00,0.0099469,75.637107,-0.0092433040827913,2.0,2.0,218.0,218.0,218.0,0.0
2021-01-07 13:00:00,0.0102007,114.888572,-0.0067478091528724,2.0,2.0,324.0,324.0,324.0,0.0
2021-01-07 14:00:00,0.010181,111.843623,-0.0019312400129402,2.0,2.0,284.0,284.0,284.0,0.0
